Date,MSCI China ESG Leaders Index Standard (Large+Mid Cap),Return Rate
2018-12-11,"1,357.273",0.005908244
2018-12-12,"1,372.668",0.011342597
2018-12-13,"1,384.649",0.008728258
2018-12-14,"1,354.181",-0.022004132
2018-12-17,"1,338.178",-0.011817475
2018-12-18,"1,313.666",-0.018317444
2018-12-19,"1,299.626",-0.010687648
2018-12-20,"1,287.211",-0.009552748
2018-12-21,"1,294.752",0.005858402
2018-12-24,"1,286.839",-0.006111595
2018-12-25,"1,286.810",-2.25358E-05
2018-12-26,"1,304.200",0.013514039
2018-12-27,"1,297.349",-0.005253029
2018-12-28,"1,305.152",0.006014573
2018-12-31,"1,311.349",0.004748106
2019-01-01,"1,311.349",0
2019-01-02,"1,284.197",-0.020705396
2019-01-03,"1,259.914",-0.018909093
2019-01-04,"1,301.193",0.032763347
2019-01-07,"1,322.536",0.01640264
2019-01-08,"1,329.810",0.005500039
2019-01-09,"1,371.452",0.031314248
2019-01-10,"1,376.480",0.003666187
2019-01-11,"1,381.113",0.003365832
2019-01-14,"1,356.616",-0.017737144
2019-01-15,"1,382.575",0.019135113
2019-01-16,"1,396.430",0.010021156
2019-01-17,"1,396.284",-0.000104552
2019-01-18,"1,418.063",0.01559783
2019-01-21,"1,426.230",0.005759265
2019-01-22,"1,402.434",-0.016684546
2019-01-23,"1,401.005",-0.001018943
2019-01-24,"1,412.590",0.008269064
2019-01-25,"1,448.759",0.02560474
2019-01-28,"1,443.998",-0.003286261
2019-01-29,"1,441.232",-0.001915515
2019-01-30,"1,469.564",0.019658181
2019-01-31,"1,487.252",0.012036223
2019-02-01,"1,490.611",0.002258528
2019-02-04,"1,487.511",-0.002079684
2019-02-05,"1,501.222",0.009217411
2019-02-06,"1,499.958",-0.000841981
2019-02-07,"1,486.488",-0.008980251
2019-02-08,"1,482.006",-0.003015161
2019-02-11,"1,494.991",0.008761773
2019-02-12,"1,499.939",0.003309719
2019-02-13,"1,505.782",0.003895492
2019-02-14,"1,494.937",-0.007202238
2019-02-15,"1,463.441",-0.021068446
2019-02-18,"1,479.620",0.011055451
2019-02-19,"1,478.312",-0.000884011
2019-02-20,"1,491.759",0.009096185
2019-02-21,"1,501.849",0.006763827
2019-02-22,"1,523.403",0.014351643
2019-02-25,"1,548.694",0.016601648
2019-02-26,"1,546.436",-0.001458003
2019-02-27,"1,540.029",-0.004143075
2019-02-28,"1,524.382",-0.010160198
2019-03-01,"1,535.290",0.007155687
2019-03-04,"1,566.036",0.020026184
2019-03-05,"1,586.840",0.013284497
2019-03-06,"1,586.693",-9.26369E-05
2019-03-07,"1,550.133",-0.023041634
2019-03-08,"1,514.344",-0.023087696
2019-03-11,"1,545.463",0.020549492
2019-03-12,"1,561.808",0.010576119
2019-03-13,"1,553.425",-0.005367497
2019-03-14,"1,548.233",-0.003342292
2019-03-15,"1,556.021",0.005030251
2019-03-18,"1,584.270",0.018154639
2019-03-19,"1,587.347",0.001942219
2019-03-20,"1,580.918",-0.004050154
2019-03-21,"1,570.488",-0.006597433
2019-03-22,"1,560.797",-0.006170693
2019-03-25,"1,538.772",-0.01411138
2019-03-26,"1,533.161",-0.003646414
2019-03-27,"1,542.319",0.00597328
2019-03-28,"1,544.600",0.001478942
2019-03-29,"1,573.085",0.018441668
2019-04-01,"1,586.318",0.008412133
2019-04-02,"1,588.285",0.001239978
2019-04-03,"1,601.835",0.008531214
2019-04-04,"1,607.827",0.00374071
2019-04-05,"1,619.661",0.007360245
2019-04-08,"1,634.311",0.009045103
2019-04-09,"1,643.695",0.005741869
2019-04-10,"1,648.439",0.00288618
2019-04-11,"1,639.322",-0.005530687
2019-04-12,"1,654.944",0.009529549
2019-04-15,"1,631.379",-0.014239153
2019-04-16,"1,652.149",0.01273156
2019-04-17,"1,662.753",0.006418307
2019-04-18,"1,649.953",-0.007698077
2019-04-19,"1,649.955",1.21216E-06
2019-04-22,"1,645.527",-0.00268371
2019-04-23,"1,646.869",0.000815544
2019-04-24,"1,641.149",-0.003473257
2019-04-25,"1,622.817",-0.011170223
2019-04-26,"1,623.407",0.000363565
2019-04-29,"1,637.575",0.008727325
2019-04-30,"1,627.744",-0.006003389
2019-05-01,"1,636.115",0.005142701
2019-05-02,"1,646.748",0.006498932
2019-05-03,"1,657.489",0.006522552
2019-05-06,"1,600.760",-0.034225868
2019-05-07,"1,590.399",-0.006472551
2019-05-08,"1,581.218",-0.005772765
2019-05-09,"1,548.991",-0.020381124
2019-05-10,"1,563.200",0.009173068
