Date,EAFE Standard (Large+Mid Cap),Return Rate,,,
2018-12-11,"5,314.294",0.004361758,,,
2018-12-12,"5,421.503",0.020173705,,,
2018-12-13,"5,416.665",-0.000892372,,,
2018-12-14,"5,353.376",-0.011684127,,,
2018-12-17,"5,339.569",-0.00257912,,,
2018-12-18,"5,291.459",-0.009010091,,,
2018-12-19,"5,317.280",0.004879751,,,
2018-12-20,"5,234.029",-0.015656689,,,
2018-12-21,"5,211.844",-0.004238609,,,
2018-12-24,"5,203.979",-0.001509063,,,
2018-12-25,"5,142.716",-0.011772338,,,
2018-12-26,"5,154.706",0.002331453,,,
2018-12-27,"5,158.189",0.000675693,,,
2018-12-28,"5,234.523",0.014798605,,,
2018-12-31,"5,257.629",0.004414156,,,
2019-01-01,"5,257.830",3.82302E-05,,,
2019-01-02,"5,223.128",-0.006600061,,,
2019-01-03,"5,228.185",0.000968194,,,
2019-01-04,"5,309.162",0.015488549,,,
2019-01-07,"5,358.160",0.009228952,,,
2019-01-08,"5,387.672",0.005507861,,,
2019-01-09,"5,458.093",0.013070766,,,
2019-01-10,"5,465.288",0.001318226,,,
2019-01-11,"5,462.489",-0.000512141,,,
2019-01-14,"5,441.793",-0.003788749,,,
2019-01-15,"5,459.827",0.003313981,,,
2019-01-16,"5,456.710",-0.000570897,,,
2019-01-17,"5,452.859",-0.000705737,,,
2019-01-18,"5,521.320",0.012555065,,,
2019-01-21,"5,521.255",-1.17725E-05,,,
2019-01-22,"5,492.951",-0.005126371,,,
2019-01-23,"5,485.886",-0.001286194,,,
2019-01-24,"5,492.400",0.001187411,,,
2019-01-25,"5,547.905",0.010105783,,,
2019-01-28,"5,522.404",-0.00459651,,,
2019-01-29,"5,539.115",0.003026037,,,
2019-01-30,"5,553.419",0.002582362,,,
2019-01-31,"5,603.161",0.008957005,,,
2019-02-01,"5,599.962",-0.000570928,,,
2019-02-04,"5,594.625",-0.000953042,,,
2019-02-05,"5,651.793",0.010218379,,,
2019-02-06,"5,642.639",-0.001619663,,,
2019-02-07,"5,577.076",-0.011619209,,,
2019-02-08,"5,522.652",-0.009758519,,,
2019-02-11,"5,527.363",0.000853032,,,
2019-02-12,"5,579.755",0.009478661,,,
2019-02-13,"5,612.333",0.005838608,,,
2019-02-14,"5,600.555",-0.002098593,,,
2019-02-15,"5,635.145",0.006176174,,,
2019-02-18,"5,681.708",0.008262964,,,
2019-02-19,"5,690.616",0.001567838,,,
2019-02-20,"5,727.283",0.006443415,,,
2019-02-21,"5,720.803",-0.001131427,,,
2019-02-22,"5,727.904",0.001241259,,,
2019-02-25,"5,751.536",0.004125767,,,
2019-02-26,"5,760.753",0.001602528,,,
2019-02-27,"5,760.273",-8.33224E-05,,,
2019-02-28,"5,745.993",-0.002479049,,,
2019-03-01,"5,760.982",0.0026086,,,
2019-03-04,"5,763.491",0.000435516,,,
2019-03-05,"5,752.179",-0.001962699,,,
2019-03-06,"5,753.590",0.000245298,,,
2019-03-07,"5,707.076",-0.008084344,,,
2019-03-08,"5,649.265",-0.010129706,,,
2019-03-11,"5,681.852",0.005768361,,,
2019-03-12,"5,718.591",0.006466026,,,
2019-03-13,"5,742.176",0.004124268,,,
2019-03-14,"5,759.605",0.003035261,,,
2019-03-15,"5,807.689",0.008348489,,,
2019-03-18,"5,837.853",0.005193804,,,
2019-03-19,"5,861.503",0.004051147,,,
2019-03-20,"5,827.980",-0.005719182,,,
2019-03-21,"5,840.102",0.002079966,,,
2019-03-22,"5,787.879",-0.008942138,,,
2019-03-25,"5,737.970",-0.008623021,,,
2019-03-26,"5,783.159",0.007875433,,,
2019-03-27,"5,780.173",-0.000516327,,,
2019-03-28,"5,750.253",-0.005176316,,,
2019-03-29,"5,782.226",0.005560277,,,
2019-04-01,"5,846.924",0.011189116,,,
2019-04-02,"5,846.216",-0.000121089,,,
2019-04-03,"5,910.132",0.010932884,,,
2019-04-04,"5,891.753",-0.003109744,,,
2019-04-05,"5,897.384",0.000955743,,,
2019-04-08,"5,908.067",0.001811481,,,
2019-04-09,"5,899.225",-0.001496598,,,
